variant,qid,query_class,difficulty,status,den_acc,exec_ok,join_hall,ir_attempts,latency_s
M-noretriever,Q070,delay_analysis,hard,reject,0,0,0,3,6.998
M-noretriever,Q075,anomaly_filter,hard,accept,0,1,0,2,4.6
M-noretriever,Q076,anomaly_filter,hard,accept,0,1,0,1,3.279
M-noretriever,Q077,anomaly_filter,hard,accept,0,1,0,1,1.708
M-noretriever,Q078,anomaly_filter,hard,accept,0,1,0,2,5.209
M-noretriever,Q079,anomaly_filter,hard,accept,1,1,0,1,2.571
M-noretriever,Q080,anomaly_filter,hard,accept,1,1,0,1,2.844
M-noretriever,Q085,window_agg,medium,accept,1,1,0,1,3.348
M-noretriever,Q086,window_agg,medium,exec_error,0,0,0,1,3.121
M-noretriever,Q087,window_agg,medium,accept,0,1,0,1,2.242
M-noretriever,Q088,window_agg,medium,reject,0,0,0,1,2.757
M-noretriever,Q089,window_agg,medium,reject,0,0,0,1,2.915
M-noretriever,Q090,window_agg,hard,reject,0,0,0,1,4.319
M-noretriever,Q091,window_agg,hard,accept,1,1,0,1,3.244
M-noretriever,Q097,nested_agg,hard,accept,1,1,0,1,2.543
M-noretriever,Q098,nested_agg,hard,accept,1,1,0,1,2.279
M-noretriever,Q099,nested_agg,hard,reject,0,0,0,1,2.71
M-noretriever,Q100,nested_agg,hard,exec_error,0,0,0,1,3.12
M-noretriever,Q101,nested_agg,hard,accept,1,1,0,1,2.554
M-noretriever,Q102,nested_agg,hard,accept,1,1,0,1,2.957
M-noretriever,Q109,conformance,medium,accept,1,1,0,1,1.395
M-noretriever,Q110,conformance,medium,accept,0,1,0,1,2.159
M-noretriever,Q111,conformance,medium,accept,1,1,0,1,1.551
M-noretriever,Q112,conformance,hard,accept,0,1,0,1,1.49
M-noretriever,Q113,conformance,hard,exec_error,0,0,0,1,2.502
M-noretriever,Q114,conformance,hard,reject,0,0,0,3,9.56
M-norepair,Q003,count_filter,easy,accept,1,1,0,1,1.788
M-norepair,Q004,count_filter,easy,accept,1,1,0,1,2.245
M-norepair,Q005,count_filter,easy,accept,1,1,0,1,1.905
M-norepair,Q007,group_topk,easy,accept,1,1,0,1,2.278
M-norepair,Q008,group_topk,easy,accept,1,1,0,1,2.162
M-norepair,Q010,group_topk,easy,accept,1,1,0,1,2.309
M-norepair,Q011,group_topk,easy,accept,1,1,0,1,2.26
M-norepair,Q015,path_relation,medium,accept,1,1,0,1,2.036
M-norepair,Q016,path_relation,medium,accept,1,1,0,1,2.359
M-norepair,Q017,path_relation,medium,accept,1,1,0,1,1.889
M-norepair,Q019,temporal_trend,medium,accept,1,1,0,1,2.431
M-norepair,Q020,temporal_trend,medium,accept,1,1,0,1,2.578
M-norepair,Q022,temporal_trend,medium,accept,1,1,0,1,2.751
M-norepair,Q023,temporal_trend,medium,accept,1,1,0,1,3.232
M-norepair,Q024,temporal_trend,medium,accept,1,1,0,1,2.81
M-norepair,Q025,delay_analysis,hard,accept,1,1,0,1,2.525
M-norepair,Q027,delay_analysis,hard,accept,1,1,0,1,2.293
M-norepair,Q028,anomaly_filter,hard,accept,1,1,0,1,2.426
M-norepair,Q029,anomaly_filter,hard,accept,1,1,0,1,2.479
M-norepair,Q031,count_filter,easy,accept,1,1,0,1,2.31
M-norepair,Q032,count_filter,easy,accept,1,1,0,1,2.1
M-norepair,Q033,count_filter,easy,reject,0,0,0,1,2.395
M-norepair,Q034,count_filter,easy,accept,1,1,0,1,2.129
